"Year","Date","Waiting in the Community","Waiting In Hospital","Total Waiting for Initial Placement","Waiting for Inter-Facility Transfer"
"2023/24","04/12/2023","1,675","283","1,958","2,600"
"2023/24","04/19/2023","1,673","283","1,956","2,612"
"2023/24","04/26/2023","1,665","280","1,945","2,627"
"2023/24","05/03/2023","1,668","279","1,947","2,626"
"2023/24","05/10/2023","1,646","292","1,938","2,652"
"2023/24","05/17/2023","1,657","299","1,956","2,659"
"2023/24","05/24/2023","1,654","298","1,952","2,664"
"2023/24","05/31/2023","1,648","300","1,948","2,636"
"2023/24","06/07/2023","1,656","297","1,953","2,591"
"2023/24","06/14/2023","1,656","302","1,958","2,579"
"2023/24","06/21/2023","1,647","301","1,948","2,573"
"2023/24","06/28/2023","1,641","310","1,951","2,562"
"2023/24","07/05/2023","1,652","312","1,964","2,557"
"2023/24","07/12/2023","1,652","289","1,941","2,575"
"2023/24","07/19/2023","1,665","294","1,959","2,596"
"2023/24","07/26/2023","1,659","308","1,967","2,605"
"2023/24","08/02/2023","1,685","318","2,003","2,627"
"2023/24","08/09/2023","1,693","316","2,009","2,633"
"2023/24","08/16/2023","1,703","334","2,037","2,649"
"2023/24","08/23/2023","1,702","351","2,053","2,645"
"2023/24","08/30/2023","1,710","359","2,069","2,651"
"2023/24","09/06/2023","1,710","367","2,077","2,662"
"2023/24","09/13/2023","1,718","381","2,099","2,654"
"2023/24","09/20/2023","1,714","384","2,098","2,652"
"2023/24","09/27/2023","1,711","387","2,098","2,650"
"2023/24","10/04/2023","1,706","372","2,078","2,668"
"2023/24","10/11/2023","1,723","356","2,079","2,653"
"2023/24","10/18/2023","1,732","364","2,096","2,657"
"2023/24","10/25/2023","1,733","358","2,091","2,681"
"2023/24","11/01/2023","1,753","370","2,123","2,679"
"2023/24","11/08/2023","1,748","366","2,114","2,676"
"2023/24","11/15/2023","1,757","361","2,118","2,682"
"2023/24","11/22/2023","1,741","365","2,106","2,685"
"2023/24","11/29/2023","1,709","379","2,088","2,690"
"2023/24","12/06/2023","1,717","388","2,105","2,697"
"2023/24","12/13/2023","1,696","376","2,072","2,722"
"2023/24","12/20/2023","1,703","387","2,090","2,735"
"2023/24","01/03/2024","1,673","368","2,041","2,727"
"2023/24","01/10/2024","1,655","341","1,996","2,752"
"2023/24","01/17/2024","1,672","333","2,005","2,764"
"2023/24","01/24/2024","1,672","354","2,026","2,777"
"2023/24","01/31/2024","1,674","363","2,037","2,787"
"2023/24","02/07/2024","1,675","360","2,035","2,820"
"2023/24","02/14/2024","1,662","357","2,019","2,845"
"2023/24","02/21/2024","1,671","342","2,013","2,845"
"2023/24","02/28/2024","1,669","343","2,012","2,860"
"2023/24","03/06/2024","1,676","349","2,025","2,889"
"2023/24","03/13/2024","1,676","352","2,028","2,886"
"2023/24","03/20/2024","1,681","345","2,026","2,897"
"2023/24","03/27/2024","1,670","348","2,018","2,913"
"2023/24","04/03/2024","1,670","343","2,013","2,902"
"2024/25","04/10/2024","1,654","341","1,995","2,926"
"2024/25","04/17/2024","1,656","342","1,998","2,931"
"2024/25","04/24/2024","1,676","346","2,022","2,944"
"2024/25","05/01/2024","1,668","349","2,017","2,955"
"2024/25","05/08/2024","1,669","340","2,009","2,973"
"2024/25","05/15/2024","1,672","337","2,009","2,966"
"2024/25","05/22/2024","1,671","342","2,013","2,960"
"2024/25","05/29/2024","1,658","341","1,999","2,973"
"2024/25","06/05/2024","1,658","341","1,999","2,971"
"2024/25","06/12/2024","1,649","340","1,989","2,978"
"2024/25","06/19/2024","1,654","356","2,010","2,989"
"2024/25","06/26/2024","1,647","352","1,999","2,994"
"2024/25","07/03/2024","1,665","354","2,019","2,997"
"2024/25","07/10/2024","1,655","369","2,024","2,993"
"2024/25","07/17/2024","1,656","360","2,016","2,999"
"2024/25","07/24/2024","1,648","366","2,014","3,012"
"2024/25","07/31/2024","1,656","363","2,019","3,017"
"2024/25","08/07/2024","1,662","353","2,015","3,022"
"2024/25","08/14/2024","1,658","352","2,010","3,012"
"2024/25","08/21/2024","1,650","340","1,990","3,025"
"2024/25","08/28/2024","1,638","336","1,974","3,043"
"2024/25","09/04/2024","1,638","337","1,975","3,048"
"2024/25","09/11/2024","1,626","327","1,953","3,055"
"2024/25","09/18/2024","1,640","325","1,965","3,043"
"2024/25","09/25/2024","1,638","323","1,961","3,032"
"2024/25","10/02/2024","1,647","301","1,948","3,028"
"2024/25","10/09/2024","1,644","311","1,955","3,001"
"2024/25","10/16/2024","1,640","308","1,948","2,982"
"2024/25","10/23/2024","1,641","308","1,949","2,945"
"2024/25","10/30/2024","1,641","316","1,957","2,940"
"2024/25","11/06/2024","1,645","309","1,954","2,923"
"2024/25","11/13/2024","1,639","297","1,936","2,927"
"2024/25","11/20/2024","1,621","295","1,916","2,946"
"2024/25","11/27/2024","1,620","294","1,914","2,961"
"2024/25","12/04/2024","1,620","294","1,914","2,961"
"2024/25","12/11/2024","1,622","301","1,923","2,926"
"2024/25","12/18/2024","1,617","322","1,939","2,887"
"2024/25","12/25/2024","1,617","322","1,939","2,887"
"2024/25","01/01/2025","1,610","283","1,893","2,866"
"2024/25","01/08/2025","1,610","283","1,893","2,866"
"2024/25","01/15/2025","1,603","279","1,882","2,856"
"2024/25","01/22/2025","1,614","281","1,895","2,799"
"2024/25","01/29/2025","1,618","282","1,900","2,791"
"2024/25","02/05/2025","1,637","281","1,918","2,707"
"2024/25","02/12/2025","1,665","280","1,945","2,668"
"2024/25","02/19/2025","1,678","273","1,951","2,658"
"2024/25","02/26/2025","1,689","258","1,947","2,656"
"2024/25","03/05/2025","1,679","269","1,948","2,631"
"2024/25","03/12/2025","1,680","263","1,943","2,620"
"2024/25","03/19/2025","1,675","261","1,936","2,597"
"2024/25","03/26/2025","1,660","265","1,925","2,605"
"2025/26","04/02/2025","1,654","278","1,932","2,564"
"2025/26","04/09/2025","1,656","280","1,936","2,558"
"2025/26","04/16/2025","1,665","294","1,959","2,561"
"2025/26","04/23/2025","1,669","290","1,959","2,561"
"2025/26","04/30/2025","1,651","292","1,943","2,563"
"2025/26","05/07/2025","1,644","291","1,935","2,555"
"2025/26","05/14/2025","1,629","296","1,925","2,559"
"2025/26","05/21/2025","1,635","276","1,911","2,565"
"2025/26","05/28/2025","1,639","299","1,938","2,544"
"2025/26","06/04/2025","1,631","304","1,935","2,552"
"2025/26","06/11/2025","1,639","291","1,930","2,557"
"2025/26","06/18/2025","1,630","302","1,932","2,577"
"2025/26","06/25/2025","1,623","318","1,941","2,555"
"2025/26","07/02/2025","1,612","324","1,936","2,551"
"2025/26","07/09/2025","1,636","318","1,954","2,539"
"2025/26","07/16/2025","1,640","323","1,963","2,516"
"2025/26","07/23/2025","1,641","325","1,966","2,501"
"2025/26","07/30/2025","1,652","329","1,981","2,477"
"2025/26","08/06/2025","1,673","336","2,009","2,476"
"2025/26","08/13/2025","1,681","332","2,013","2,454"
"2025/26","08/20/2025","1,683","331","2,014","2,464"
"2025/26","08/27/2025","1,703","320","2,023","2,465"
"2025/26","09/03/2025","1,693","317","2,010","2,473"
"2025/26","09/10/2025","1,690","333","2,023","2,442"
"2025/26","09/17/2025","1,696","339","2,035","2,431"
"2025/26","09/24/2025","1,706","361","2,067","2,408"
"2025/26","10/01/2025","1,696","354","2,050","2,424"
"2025/26","10/08/2025","1,705","350","2,055","2,439"
"2025/26","10/15/2025","1,690","364","2,054","2,437"
"2025/26","10/22/2025","1,697","372","2,069","2,450"
"2025/26","10/29/2025","1,708","363","2,071","2,458"
"2025/26","11/05/2025","1,697","353","2,050","2,459"
"2025/26","11/12/2025","1,704","342","2,046","2,441"
"2025/26","11/19/2025","1,698","330","2,028","2,425"
"2025/26","11/26/2025","1,713","311","2,024","2,426"
"2025/26","12/03/2025","1,697","326","2,023","2,442"
"2025/26","12/10/2025","1,684","333","2,017","2,449"
"2025/26","12/17/2025","1,689","311","2,000","2,459"
"2025/26","12/24/2025","1,693","310","2,003","2,465"
"2025/26","12/31/2025","1,681","302","1,983","2,448"
